frame,tempo_s,rx_rad,ry_rad,rz_rad,tx_m,ty_m,tz_m,reproj_rms_px,jitter_px
0,0.0,0.18184,-0.05983,0.18236,-0.12,-0.00519,0.71104,0.0452,0.0
1,0.0333,0.19157,-0.05356,0.18678,-0.11663,-0.00523,0.70922,0.0446,0.0
2,0.0667,0.20139,-0.04683,0.19085,-0.11327,-0.00537,0.70727,0.0406,0.138
3,0.1,0.21132,-0.04044,0.19457,-0.10992,-0.00558,0.70515,0.0413,0.1223
4,0.1333,0.22082,-0.03421,0.19791,-0.10658,-0.0059,0.70286,0.0385,0.147
5,0.1667,0.23056,-0.02797,0.20079,-0.10327,-0.00629,0.7004,0.0428,0.1257
6,0.2,0.23945,-0.02175,0.2034,-0.09998,-0.00679,0.69792,0.0389,0.1749
7,0.2333,0.24914,-0.01547,0.20554,-0.09674,-0.00736,0.69518,0.043,0.1257
8,0.2667,0.2587,-0.01,0.2073,-0.09352,-0.00801,0.6922,0.0411,0.1333
9,0.3,0.26784,-0.00454,0.2087,-0.09036,-0.00875,0.68923,0.0439,0.1441
10,0.3333,0.27664,0.00164,0.20948,-0.08727,-0.00957,0.68618,0.0414,0.1706
11,0.3667,0.28552,0.00715,0.21008,-0.08422,-0.01047,0.68297,0.0457,0.1399
12,0.4,0.29439,0.01223,0.21022,-0.08123,-0.01144,0.67955,0.0436,0.1373
13,0.4333,0.3028,0.01779,0.2099,-0.07833,-0.01251,0.67613,0.0402,0.1828
14,0.4667,0.31085,0.02261,0.20929,-0.07548,-0.01365,0.67258,0.0427,0.1435
15,0.5,0.31907,0.02737,0.20819,-0.07272,-0.01485,0.66888,0.0367,0.1635
16,0.5333,0.32685,0.03203,0.20681,-0.07003,-0.01614,0.66514,0.0404,0.1607
17,0.5667,0.33443,0.03634,0.20499,-0.06745,-0.01748,0.66131,0.0414,0.1691
18,0.6,0.34149,0.0408,0.20272,-0.06495,-0.0189,0.65749,0.0406,0.1712
19,0.6333,0.34854,0.04478,0.20017,-0.06255,-0.02038,0.6535,0.0392,0.1746
20,0.6667,0.35511,0.0488,0.1972,-0.06026,-0.02193,0.64951,0.0417,0.1871
21,0.7,0.36125,0.05253,0.19387,-0.05808,-0.02353,0.64554,0.0352,0.1624
22,0.7333,0.36736,0.05601,0.19024,-0.056,-0.02519,0.6414,0.0407,0.1975
23,0.7667,0.37327,0.0593,0.18626,-0.05403,-0.0269,0.63724,0.0389,0.1808
24,0.8,0.37897,0.06221,0.18198,-0.05218,-0.02866,0.63299,0.035,0.1854
25,0.8333,0.38362,0.06482,0.17737,-0.05045,-0.03047,0.62882,0.0363,0.2063
26,0.8667,0.38879,0.06765,0.17241,-0.04885,-0.03232,0.62459,0.0378,0.1901
27,0.9,0.39295,0.06969,0.16725,-0.04737,-0.03422,0.62038,0.0389,0.2225
28,0.9333,0.39671,0.07171,0.1617,-0.04602,-0.03615,0.61621,0.038,0.1868
29,0.9667,0.40046,0.07377,0.15592,-0.0448,-0.03812,0.61197,0.0411,0.2421
30,1.0,0.40373,0.0756,0.14986,-0.04372,-0.04011,0.60779,0.0412,0.2062
31,1.0333,0.40639,0.07686,0.14358,-0.04277,-0.04214,0.60365,0.0394,0.2081
32,1.0667,0.40883,0.07803,0.13706,-0.04196,-0.04419,0.59952,0.0374,0.2302
33,1.1,0.41085,0.07921,0.1303,-0.04128,-0.04626,0.59543,0.0404,0.2225
34,1.1333,0.41252,0.07984,0.12332,-0.04076,-0.04833,0.59134,0.0413,0.2395
35,1.1667,0.41405,0.08057,0.11607,-0.04037,-0.05042,0.58727,0.0405,0.2365
36,1.2,0.41474,0.08087,0.10872,-0.04011,-0.05253,0.58334,0.0387,0.2218
37,1.2333,0.41541,0.08118,0.10112,-0.04002,-0.05463,0.57943,0.0358,0.2731
38,1.2667,0.41561,0.0812,0.09341,-0.04005,-0.05673,0.57559,0.0339,0.2174
39,1.3,0.41513,0.08098,0.08561,-0.04022,-0.05884,0.5719,0.0376,0.2383
40,1.3333,0.41428,0.08069,0.07761,-0.04054,-0.06094,0.56826,0.0374,0.2567
41,1.3667,0.4132,0.08019,0.06942,-0.04101,-0.06301,0.56469,0.0401,0.2644
42,1.4,0.41146,0.07935,0.06129,-0.0416,-0.06509,0.56123,0.0428,0.2232
43,1.4333,0.40985,0.07912,0.05294,-0.04236,-0.06715,0.55787,0.0421,0.31
44,1.4667,0.40743,0.07778,0.04461,-0.04323,-0.06917,0.5546,0.0445,0.1966
45,1.5,0.4048,0.07678,0.0362,-0.04424,-0.07119,0.55144,0.0471,0.2745
46,1.5333,0.40134,0.07558,0.0277,-0.04539,-0.07317,0.54841,0.0456,0.2642
47,1.5667,0.39771,0.0745,0.01914,-0.04667,-0.07512,0.54561,0.0522,0.2389
48,1.6,0.39348,0.07291,0.01062,-0.04808,-0.07705,0.54287,0.0547,0.25
49,1.6333,0.38913,0.07153,0.00194,-0.04963,-0.0789,0.54027,0.0548,0.2796
50,1.6667,0.38408,0.06986,-0.00651,-0.05129,-0.08074,0.53781,0.055,0.2364
51,1.7,0.37918,0.069,-0.0151,-0.05309,-0.08254,0.53553,0.0527,0.2951
52,1.7333,0.3736,0.06661,-0.02356,-0.05499,-0.08427,0.53331,0.0564,0.1923
