arquivo,rotulos_aceitos,observacao
n01440764_01.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00009111.JPEG
n01440764_02.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00009191.JPEG
n01440764_03.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00017472.JPEG
n01440764_04.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00017700.JPEG
n01440764_05.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00021740.JPEG
n01440764_06.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00029930.JPEG
n01440764_07.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00030740.JPEG
n01440764_08.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00037861.JPEG
n01440764_09.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00045880.JPEG
n01440764_10.JPEG,tench,Imagenette val/n01440764/ILSVRC2012_val_00046252.JPEG
n01440764_11.JPEG,tench,Imagenette val/n01440764/n01440764_10040.JPEG
n01440764_12.JPEG,tench,Imagenette val/n01440764/n01440764_10042.JPEG
n01440764_13.JPEG,tench,Imagenette val/n01440764/n01440764_10110.JPEG
n01440764_14.JPEG,tench,Imagenette val/n01440764/n01440764_10120.JPEG
n01440764_15.JPEG,tench,Imagenette val/n01440764/n01440764_10150.JPEG
n01440764_16.JPEG,tench,Imagenette val/n01440764/n01440764_10162.JPEG
n01440764_17.JPEG,tench,Imagenette val/n01440764/n01440764_10211.JPEG
n01440764_18.JPEG,tench,Imagenette val/n01440764/n01440764_10251.JPEG
n01440764_19.JPEG,tench,Imagenette val/n01440764/n01440764_10281.JPEG
n01440764_20.JPEG,tench,Imagenette val/n01440764/n01440764_10290.JPEG
n01440764_21.JPEG,tench,Imagenette val/n01440764/n01440764_10320.JPEG
n01440764_22.JPEG,tench,Imagenette val/n01440764/n01440764_10331.JPEG
n01440764_23.JPEG,tench,Imagenette val/n01440764/n01440764_10342.JPEG
n01440764_24.JPEG,tench,Imagenette val/n01440764/n01440764_10361.JPEG
n01440764_25.JPEG,tench,Imagenette val/n01440764/n01440764_10380.JPEG
n01440764_26.JPEG,tench,Imagenette val/n01440764/n01440764_10382.JPEG
n01440764_27.JPEG,tench,Imagenette val/n01440764/n01440764_10410.JPEG
n01440764_28.JPEG,tench,Imagenette val/n01440764/n01440764_10462.JPEG
n01440764_29.JPEG,tench,Imagenette val/n01440764/n01440764_10470.JPEG
n01440764_30.JPEG,tench,Imagenette val/n01440764/n01440764_10482.JPEG
n01440764_31.JPEG,tench,Imagenette val/n01440764/n01440764_10491.JPEG
n01440764_32.JPEG,tench,Imagenette val/n01440764/n01440764_10531.JPEG
n01440764_33.JPEG,tench,Imagenette val/n01440764/n01440764_10542.JPEG
n01440764_34.JPEG,tench,Imagenette val/n01440764/n01440764_10550.JPEG
n01440764_35.JPEG,tench,Imagenette val/n01440764/n01440764_10592.JPEG
n01440764_36.JPEG,tench,Imagenette val/n01440764/n01440764_10740.JPEG
n01440764_37.JPEG,tench,Imagenette val/n01440764/n01440764_10792.JPEG
n01440764_38.JPEG,tench,Imagenette val/n01440764/n01440764_10812.JPEG
n01440764_39.JPEG,tench,Imagenette val/n01440764/n01440764_10822.JPEG
n01440764_40.JPEG,tench,Imagenette val/n01440764/n01440764_10852.JPEG
n01440764_41.JPEG,tench,Imagenette val/n01440764/n01440764_1091.JPEG
n01440764_42.JPEG,tench,Imagenette val/n01440764/n01440764_10910.JPEG
n01440764_43.JPEG,tench,Imagenette val/n01440764/n01440764_11011.JPEG
n01440764_44.JPEG,tench,Imagenette val/n01440764/n01440764_11151.JPEG
n01440764_45.JPEG,tench,Imagenette val/n01440764/n01440764_11170.JPEG
n01440764_46.JPEG,tench,Imagenette val/n01440764/n01440764_11190.JPEG
n01440764_47.JPEG,tench,Imagenette val/n01440764/n01440764_11211.JPEG
n01440764_48.JPEG,tench,Imagenette val/n01440764/n01440764_11281.JPEG
n01440764_49.JPEG,tench,Imagenette val/n01440764/n01440764_11331.JPEG
n01440764_50.JPEG,tench,Imagenette val/n01440764/n01440764_11350.JPEG
n01440764_51.JPEG,tench,Imagenette val/n01440764/n01440764_11400.JPEG
n01440764_52.JPEG,tench,Imagenette val/n01440764/n01440764_1141.JPEG
n01440764_53.JPEG,tench,Imagenette val/n01440764/n01440764_11420.JPEG
n01440764_54.JPEG,tench,Imagenette val/n01440764/n01440764_11570.JPEG
n01440764_55.JPEG,tench,Imagenette val/n01440764/n01440764_11590.JPEG
n01440764_56.JPEG,tench,Imagenette val/n01440764/n01440764_11602.JPEG
n01440764_57.JPEG,tench,Imagenette val/n01440764/n01440764_11612.JPEG
n01440764_58.JPEG,tench,Imagenette val/n01440764/n01440764_11650.JPEG
n01440764_59.JPEG,tench,Imagenette val/n01440764/n01440764_11652.JPEG
