cena,classe,pixels,porcentagem_area
img01.png,sky,125688,41.63
img01.png,grass,81529,27.0
img01.png,tree,50313,16.66
img01.png,person,30890,10.23
img01.png,water,4089,1.35
img01.png,house,3662,1.21
img01.png,building,2774,0.92
img01.png,wall,1087,0.36
img01.png,hovel,693,0.23
img01.png,fence,352,0.12
img01.png,stage,207,0.07
img01.png,airplane,116,0.04
img01.png,bench,108,0.04
img01.png,windowpane,106,0.04
img01.png,ball,98,0.03
img01.png,plaything,76,0.03
img01.png,plant,58,0.02
img01.png,ceiling,43,0.01
img01.png,rock,33,0.01
img01.png,animal,12,0.0
img01.png,streetlight,6,0.0
img01.png,sconce,6,0.0
img01.png,light,3,0.0
img01.png,pole,1,0.0
img02.png,tree,60936,26.01
img02.png,sky,48965,20.9
img02.png,water,46561,19.88
img02.png,earth,42146,17.99
img02.png,grass,16484,7.04
img02.png,mountain,8374,3.57
img02.png,person,3447,1.47
img02.png,river,2912,1.24
img02.png,wall,2608,1.11
img02.png,rock,1187,0.51
img02.png,hill,204,0.09
img02.png,lake,134,0.06
img02.png,plant,121,0.05
img02.png,building,105,0.04
img02.png,house,46,0.02
img02.png,bridge,26,0.01
img03.png,person,53209,24.67
img03.png,tree,52861,24.51
img03.png,earth,47091,21.84
img03.png,building,17355,8.05
img03.png,grass,12108,5.61
img03.png,sky,10799,5.01
img03.png,plant,10504,4.87
img03.png,mountain,8197,3.8
img03.png,wall,1811,0.84
img03.png,bridge,644,0.3
img03.png,water,484,0.22
img03.png,fence,226,0.1
img03.png,road,146,0.07
img03.png,railing,100,0.05
img03.png,pole,54,0.03
img03.png,floor,41,0.02
img03.png,column,6,0.0
img03.png,bench,6,0.0
img03.png,path,5,0.0
img03.png,rock,1,0.0
img04.png,grass,53657,45.98
img04.png,tree,32158,27.55
img04.png,sky,15125,12.96
img04.png,person,12817,10.98
img04.png,building,2194,1.88
img04.png,fence,303,0.26
img04.png,path,285,0.24
img04.png,earth,69,0.06
img04.png,water,46,0.04
img04.png,animal,44,0.04
img04.png,streetlight,9,0.01
img04.png,wall,1,0.0
img05.png,tree,95514,38.88
img05.png,earth,66990,27.27
img05.png,person,36903,15.02
img05.png,water,9979,4.06
img05.png,sky,7059,2.87
img05.png,railing,4957,2.02
img05.png,pole,4229,1.72
img05.png,grass,3496,1.42
img05.png,building,2942,1.2
img05.png,base,2714,1.1
img05.png,fence,2426,0.99
img05.png,bridge,2157,0.88
img05.png,bannister,1168,0.48
img05.png,wall,1159,0.47
img05.png,plant,877,0.36
img05.png,car,640,0.26
img05.png,road,390,0.16
img05.png,awning,364,0.15
img05.png,stairway,343,0.14
img05.png,bench,314,0.13
img05.png,sidewalk,297,0.12
img05.png,flag,286,0.12
img05.png,signboard,191,0.08
img05.png,windowpane,72,0.03
img05.png,chair,67,0.03
img05.png,door,57,0.02
img05.png,streetlight,17,0.01
img05.png,painting,12,0.0
img05.png,step,9,0.0
img05.png,sconce,3,0.0
img06.png,grass,224497,50.75
img06.png,road,102684,23.21
img06.png,building,50044,11.31
img06.png,sidewalk,19525,4.41
img06.png,person,16317,3.69
img06.png,wall,5585,1.26
img06.png,fence,5003,1.13
img06.png,pole,4162,0.94
img06.png,signboard,3048,0.69
img06.png,van,2891,0.65
img06.png,car,2223,0.5
img06.png,sand,1955,0.44
img06.png,ball,1897,0.43
img06.png,swimming,443,0.1
img06.png,flag,321,0.07
img06.png,earth,320,0.07
img06.png,ashcan,295,0.07
img06.png,tree,272,0.06
img06.png,column,234,0.05
img06.png,water,131,0.03
img06.png,traffic,108,0.02
img06.png,windowpane,90,0.02
img06.png,floor,80,0.02
img06.png,streetlight,80,0.02
img06.png,stairway,65,0.01
img06.png,boat,52,0.01
img06.png,bicycle,25,0.01
img06.png,truck,14,0.0
img06.png,bench,7,0.0
